"","Source..A.","Source..B.","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"11","“We need to stop calling it #autism and start calling it what it really is.. #vaccine induced brain injury.” 
Dr Brian Hooker","Negative",23,34.48,66.81,9.25,25.77,11.5,17.39,78.26,34.78,17.39,0,0,0,0,0,0,17.39,0,4.35,4.35,4.35,4.35,0,13.04,0,0,4.35,0,0,0,0,0,0,0,0,8.7,0,0,0,0,13.04,4.35,4.35,4.35,0,0,4.35,0,0,0,0,17.39,8.7,8.7,4.35,0,8.7,0,0,4.35,0,4.35,0,13.04,0,8.7,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,21.74,13.04,0,0,0,0,0,0,0,0,0,8.7
"12","“We need to stop calling it #autism and start calling it what it really is.. #vaccine induced brain injury.” 
Dr Brian Hooker","Negative",23,34.48,66.81,9.25,25.77,11.5,17.39,78.26,34.78,17.39,0,0,0,0,0,0,17.39,0,4.35,4.35,4.35,4.35,0,13.04,0,0,4.35,0,0,0,0,0,0,0,0,8.7,0,0,0,0,13.04,4.35,4.35,4.35,0,0,4.35,0,0,0,0,17.39,8.7,8.7,4.35,0,8.7,0,0,4.35,0,4.35,0,13.04,0,8.7,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,21.74,13.04,0,0,0,0,0,0,0,0,0,8.7
"13","“We need to stop calling it #autism and start calling it what it really is.. #vaccine induced brain injury.” 
Dr Brian Hooker","Negative",23,34.48,66.81,9.25,25.77,11.5,17.39,78.26,34.78,17.39,0,0,0,0,0,0,17.39,0,4.35,4.35,4.35,4.35,0,13.04,0,0,4.35,0,0,0,0,0,0,0,0,8.7,0,0,0,0,13.04,4.35,4.35,4.35,0,0,4.35,0,0,0,0,17.39,8.7,8.7,4.35,0,8.7,0,0,4.35,0,4.35,0,13.04,0,8.7,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,21.74,13.04,0,0,0,0,0,0,0,0,0,8.7
"14","""Congenital #rubella syndrome can be a devastating birth defect, which is easily prevented with the #MMR #vaccine,"" said @PeterHotez MD, Ph.D., @bcmhouston, and author of 'Vaccines Did Not Cause Rachel's #Autism'

https://t.co/dTyW1JnNZb https://t.co/AkDiS84koN","Negative",41,82.68,40.36,1,3.09,41,29.27,51.22,26.83,2.44,0,0,0,0,0,0,2.44,4.88,4.88,9.76,0,2.44,2.44,9.76,0,0,2.44,0,0,7.32,2.44,4.88,0,0,2.44,2.44,0,0,0,0,4.88,0,2.44,0,0,0,2.44,2.44,0,2.44,0,2.44,0,2.44,0,0,2.44,0,0,0,0,2.44,4.88,7.32,0,2.44,0,0,2.44,0,0,0,0,0,0,4.88,0,4.88,0,0,0,58.54,9.76,12.2,0,0,0,0,0,4.88,7.32,0,24.39
"15","""Congenital #rubella syndrome can be a devastating birth defect, which is easily prevented with the #MMR #vaccine,"" said @PeterHotez MD, Ph.D., @bcmhouston, and author of 'Vaccines Did Not Cause Rachel's #Autism'

https://t.co/dTyW1JnNZb https://t.co/AkDiS84koN","Negative",41,82.68,40.36,1,3.09,41,29.27,51.22,26.83,2.44,0,0,0,0,0,0,2.44,4.88,4.88,9.76,0,2.44,2.44,9.76,0,0,2.44,0,0,7.32,2.44,4.88,0,0,2.44,2.44,0,0,0,0,4.88,0,2.44,0,0,0,2.44,2.44,0,2.44,0,2.44,0,2.44,0,0,2.44,0,0,0,0,2.44,4.88,7.32,0,2.44,0,0,2.44,0,0,0,0,0,0,4.88,0,4.88,0,0,0,58.54,9.76,12.2,0,0,0,0,0,4.88,7.32,0,24.39
"16","""Mom, I've never felt this sick,"" newlywed pleads after getting #flushot, dies of #sepsis days later. #vaccines
https://t.co/64Ma4gKIAd","Negative",23,70.3,33.19,80.16,1,11.5,17.39,60.87,21.74,8.7,4.35,4.35,0,0,0,0,4.35,0,8.7,4.35,4.35,0,4.35,17.39,13.04,8.7,0,0,0,4.35,0,4.35,0,0,0,4.35,4.35,0,4.35,0,8.7,4.35,0,0,0,4.35,0,4.35,0,0,4.35,4.35,0,4.35,0,0,8.7,0,0,4.35,4.35,0,4.35,8.7,0,17.39,0,0,17.39,0,0,0,0,0,4.35,4.35,0,4.35,0,0,0,56.52,8.7,13.04,0,0,0,0,0,8.7,4.35,0,21.74
"17","""Mom, I've never felt this sick,"" newlywed pleads after getting #flushot, dies of #sepsis days later. #vaccines
https://t.co/64Ma4gKIAd","Negative",23,70.3,33.19,80.16,1,11.5,17.39,60.87,21.74,8.7,4.35,4.35,0,0,0,0,4.35,0,8.7,4.35,4.35,0,4.35,17.39,13.04,8.7,0,0,0,4.35,0,4.35,0,0,0,4.35,4.35,0,4.35,0,8.7,4.35,0,0,0,4.35,0,4.35,0,0,4.35,4.35,0,4.35,0,0,8.7,0,0,4.35,4.35,0,4.35,8.7,0,17.39,0,0,17.39,0,0,0,0,0,4.35,4.35,0,4.35,0,0,0,56.52,8.7,13.04,0,0,0,0,0,8.7,4.35,0,21.74
"18","""This will permanently alter your DNA."" A universal flu vaccine: the mad science solution « Jon Rappoport's Blog https://t.co/0KSrpCPfNv @VaccineChoiceCA @concettaeedy #flushot #DNA #FrankensteinTech #NoMandates #cdnpoli #uspoli #onpoli #TOpoli #uspoli #ukpoli","Negative",34,89.49,72.17,1,1.76,17,38.24,35.29,14.71,5.88,2.94,0,0,2.94,0,0,2.94,5.88,0,2.94,0,0,0,2.94,0,0,0,0,0,2.94,0,2.94,0,2.94,0,2.94,0,0,0,0,2.94,2.94,2.94,0,0,0,0,0,0,0,0,2.94,0,2.94,0,0,2.94,0,2.94,0,0,0,0,0,2.94,0,0,0,0,2.94,5.88,0,0,0,0,2.94,0,2.94,0,0,0,61.76,5.88,0,2.94,0,0,0,0,5.88,2.94,0,44.12
"19","@_marymason @chrisvcsefalvay @Momogarden81 @MamaBear11011 @EmmaGPaley @RyanMarino @Vbalance03 @jarue369 @Just4TheCause @KarmicTimes @RustyPee4 @Boxmenot @PharmaNemesis @Organic_Mumzy @Dr_dad_of_3 @kenjaques This India polio #Vaccine^disaster (just like the previous #SV40 monkey virus that contaminated earlier 1950s-60s #polio #vaccines) is tragic &amp; horrifying &amp; should put all uncaring ""medical personnel"" apologists on this thread 2 SHAME! Eve Dorit ChrisJ Chrisvon ""Shadey"" etc. 😡","Negative",63,89.19,62.46,1,1,21,42.86,36.51,15.87,4.76,0,0,0,0,0,0,4.76,1.59,4.76,3.17,1.59,0,0,4.76,3.17,3.17,0,3.17,1.59,4.76,0,4.76,1.59,0,1.59,3.17,1.59,0,0,1.59,3.17,0,0,1.59,0,1.59,0,0,0,0,0,3.17,0,3.17,0,0,6.35,0,0,4.76,0,1.59,3.17,1.59,0,7.94,1.59,1.59,4.76,0,0,0,0,1.59,0,0,0,0,0,0,0,63.49,1.59,0,0,3.17,0,1.59,1.59,6.35,0,3.17,46.03
"20","@ajoykumarmd @ZDoggMDProducer @US_FDA @RobertKennedyJr YEAH ! the @US_FDA is doing a great job along with @MonsantoBioAg @Bayer to keep the human species #Poisoned #vaccine injured equals #pharma client for life @POTUS_Schedule https://t.co/00Wqmd0Xc9","Negative",40,97.69,89.42,1,25.77,20,22.5,57.5,27.5,5,5,0,5,0,0,0,0,7.5,10,5,0,0,0,7.5,5,2.5,0,2.5,2.5,5,2.5,2.5,0,2.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.5,7.5,0,0,7.5,5,0,0,2.5,0,0,5,0,2.5,0,0,2.5,7.5,0,0,0,0,0,5,0,2.5,2.5,0,0,45,2.5,0,0,0,0,2.5,0,0,0,0,40
"21","@AmericaNowFirst @XluvnuX @Jordan_Sather_ @tanksmom2000 The MASSIVE corruption in the #vaccine industry (to include the appalling coverup by the #CDC in 2004) must be included in any meaningful debate regarding the moral justification for compulsory #vaccination.
👇
https://t.co/fGPjcfV8eT

#VoteSaveAmerica #QAnon #USA #WeThePeople 🇺🇸","Negative",48,99,58.24,3.9,4.56,24,39.58,54.17,29.17,0,0,0,0,0,0,0,0,10.42,14.58,4.17,0,0,0,4.17,2.08,0,0,2.08,2.08,2.08,0,2.08,0,0,0,2.08,0,0,0,0,8.33,4.17,2.08,2.08,2.08,2.08,0,0,0,0,0,0,0,0,0,0,2.08,0,0,2.08,0,0,2.08,4.17,0,8.33,0,8.33,0,2.08,2.08,0,0,2.08,0,2.08,0,2.08,0,0,0,39.58,4.17,0,0,0,0,0,0,0,0,4.17,31.25
"22","@brittertwits @CDCDirector The MASSIVE corruption in the #vaccine industry (to include the appalling coverup by the #CDC in 2004) must be included in any meaningful debate regarding the moral justification for compulsory #vaccination. 👇
https://t.co/fGPjcfV8eT

#VoteSaveAmerica #QAnon #USA #WeThePeople 🇺🇸","Negative",45,99,58.78,4.97,3.92,22.5,40,60,31.11,0,0,0,0,0,0,0,0,11.11,15.56,4.44,0,0,0,4.44,2.22,0,0,2.22,2.22,2.22,0,2.22,0,0,0,2.22,0,0,0,0,8.89,4.44,2.22,2.22,2.22,2.22,0,0,0,0,0,0,0,0,0,0,2.22,0,0,2.22,0,0,2.22,4.44,0,8.89,0,8.89,0,2.22,4.44,0,0,2.22,0,2.22,0,2.22,0,0,0,33.33,4.44,0,0,0,0,0,0,0,0,4.44,24.44
"23","@cakyrespa @Taradea08775439 @ThisMomHCN I always block fact free #BigPharma #Vaccine trolls... #MyAutism 
#VaccineDamage = #Autism #SaidNoMother #SaidNoFather #NoLiability #EpicFail https://t.co/AoMHLOBmEh","Negative",23,87.57,33.19,2.02,93.61,11.5,52.17,21.74,4.35,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,4.35,0,0,0,4.35,0,0,4.35,0,4.35,0,0,0,82.61,17.39,0,0,0,0,0,0,0,0,0,65.22
"24","@CBSEveningNews @drtaranarula If #flushot was the solution, everybody would get it, even the healthcare workers. I have the solution, I have ""La Technique"".","Negative",23,23.89,19.23,9.25,25.77,11.5,39.13,73.91,56.52,17.39,8.7,8.7,0,0,0,0,8.7,13.04,0,17.39,4.35,4.35,0,21.74,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,21.74,8.7,8.7,8.7,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,17.39,0,13.04,4.35,4.35,0,4.35,13.04,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,43.48,8.7,13.04,0,0,0,0,0,8.7,0,0,13.04
"25","@CDCgov #vaccine schedule has tripled since 1986 when a law was passed removing ALL liability for injuries. Manufacteres can NOT be sued. Why would they NOT keeping adding to the schedule?? 4 BILLION of your tax money has paid for #vaccineinjury #chickenpoxsurvivor #readthebook https://t.co/aFmZadc0u1","Negative",48,71.61,41.76,7.84,4.56,12,29.17,75,39.58,4.17,4.17,0,0,2.08,0,2.08,0,4.17,10.42,12.5,4.17,2.08,4.17,14.58,0,0,4.17,6.25,6.25,2.08,0,2.08,0,0,0,4.17,0,0,0,0,14.58,0,4.17,4.17,0,2.08,4.17,0,0,0,0,2.08,2.08,2.08,0,0,6.25,0,0,2.08,2.08,2.08,6.25,8.33,0,12.5,4.17,0,8.33,10.42,2.08,0,6.25,0,0,2.08,0,2.08,0,0,0,25,6.25,0,0,0,4.17,0,0,0,0,0,14.58
"26","@CillizzaCNN I don't need a #flushot because I have ""La Technique"" to fight the #flu with efficacy and ease.","Negative",19,63.17,14.62,1,25.77,19,26.32,73.68,52.63,10.53,10.53,10.53,0,0,0,0,0,10.53,10.53,10.53,0,10.53,5.26,15.79,0,0,0,0,0,10.53,5.26,5.26,0,5.26,0,5.26,0,0,0,0,10.53,0,5.26,5.26,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84,5.26,0,0,0,0,0,0,10.53,5.26,0,15.79
"27","@csusie @DaraDietitian @drg1985 @DrRobertOConnor Ask a simple #vaccine question of so-called health workers &amp; I get more cowardice. How long does the #HPVvaccine last? @csusie can't answer it either. These people are lost. #ireland #dublin #cork #vaccines #vaxxed #hpv #edu NO #vaccineswork https://t.co/KKgt7i8mFR","Negative",48,60.8,41.76,14.24,4.56,9.6,25,58.33,25,6.25,2.08,2.08,0,0,0,0,4.17,4.17,2.08,4.17,4.17,4.17,4.17,12.5,6.25,4.17,2.08,0,4.17,2.08,0,2.08,0,0,2.08,8.33,0,0,0,0,10.42,4.17,2.08,0,2.08,0,4.17,0,0,0,0,2.08,0,2.08,0,0,8.33,0,4.17,4.17,2.08,0,4.17,10.42,0,4.17,0,2.08,2.08,2.08,0,0,0,0,0,2.08,0,2.08,0,0,0,54.17,8.33,0,0,2.08,2.08,0,2.08,0,2.08,0,37.5
"28","@deddingtonian @henning_lars @VPplenarysesh This says “and took into account detailed information received from a number of patient groups that also highlighted the impact these syndromes can have on patients and families” That’s not potential #hpv #vaccine harm patients, is it? https://t.co/QHUq0ZJ5MN","Negative",48,71.61,66.17,3.9,4.56,24,33.33,60.42,35.42,10.42,0,0,0,0,0,0,10.42,4.17,8.33,6.25,2.08,4.17,2.08,8.33,0,0,0,0,2.08,2.08,0,2.08,0,0,0,8.33,2.08,0,0,0,6.25,2.08,0,0,2.08,0,2.08,2.08,0,2.08,0,2.08,0,2.08,0,0,10.42,4.17,2.08,2.08,2.08,0,2.08,8.33,2.08,6.25,2.08,4.17,2.08,2.08,2.08,2.08,2.08,0,0,2.08,0,2.08,0,0,0,22.92,2.08,2.08,0,0,2.08,0,0,0,0,0,16.67
"29","@doctorsensation An expert friends was given a #vaccine against pneumonia and caught #peumonia #vaxxed","Negative",14,97.54,50,13.15,25.77,14,42.86,71.43,35.71,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,7.14,0,21.43,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,7.14,0,7.14,0,0,21.43,7.14,0,14.29,0,0,21.43,0,0,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,28.57
"30","@doritmi @BlueLionBlog @DansMonkeyShack @BeckyJohnson222 @Awithonelison @mcfunny @Vbalance03 @amanda_pompili @Siubhan_H @astrahlgems @cafe_health @ChrisJohnsonMD @StopVaxxedLies @jandtee @kidoctr @Takethatdoctors @djt10 @EmmaGPaley @Plasticdoe @Rosewind2007 @saluce65 @Just4TheCause @erikwilson1975 @Microbedoc2 @jpsportsminer @cantab_biker @GretchenScience @chrisvcsefalvay @xanthonejohn @TinFoilAwards @Brian_Kitchener @SueQuez @carlsmythe @EbolaJuggler @PharmaNemesis @sarah_sxlxp @openmitochondro @ShooguhLipz @1002Loola @regina1775 @and_McDowell @anoticingsenpa1 @badzoot7 @DavidOugh1 @what_if_007 @DarkestAngeL31 @janem1276 @mobilematt @LHMI2016org @skepticalraptor 😳 “...potentially fatal #HPV infections...”? What the hell is HPV? That almost everyone has or will have it, yet there’s been no testing? Even w/testing for women, no treatment? And what #vaccine prevents death, except hpv #vaccines? They’re not vaccines @ all, are they? Madness","Negative",107,49.83,35.41,1,5.67,15.29,52.34,41.12,26.17,7.48,1.87,0,0,0,0,1.87,5.61,0.93,1.87,5.61,3.74,3.74,2.8,6.54,0,0,2.8,0.93,0.93,2.8,0,1.87,0,0.93,0,3.74,0,0,0.93,0,8.41,0.93,0,0.93,4.67,1.87,3.74,0.93,0,0.93,0,3.74,0,1.87,0,1.87,1.87,0,0.93,0,0,0.93,0.93,3.74,1.87,0.93,0,0,0.93,0.93,2.8,0.93,0,0.93,1.87,1.87,0.93,0.93,0,0,0,73.83,5.61,3.74,0,0,5.61,0,0,0,0,0,58.88
"31","@doritmi @LordTelerion @kmerian @djt10 @RBuzzy1111 @Plasticdoe @EdDarrell @LilEarthling369 @Just4TheCause @seaglass34 @kidoctr @jeanetteimpia @SpectrumomYeah @Vbalance03 @KarmicTimes @Luma923 @RightWingBlack2 @science_guy5 @omreebt @StopVaxxedLies @EmmaGPaley @REALITYofJNJ @what_if_007 @VeritasEver @GeoffSchuler @Biegenzahn @HenningTveit @DefconOneUG @FoxeoGames @MamaBear11011 @chrisvcsefalvay @SentinelM @RyanMarino @wangstar20161 @PharmaNemesis @weaponizedword1 @thereal_truther @Wallace_Noll @MrFlu2 @Momogarden81 Fear-mongering diseases and over stating #vaccine benefits that compels others 2 #vaccinate b/c too afraid not to is essentially force. Where’s #ethics?","Negative",70,74.16,33.41,1.06,8.64,35,65.71,37.14,17.14,4.29,0,0,0,0,0,0,4.29,0,2.86,1.43,4.29,2.86,1.43,1.43,1.43,0,2.86,2.86,0,7.14,2.86,4.29,2.86,1.43,0,1.43,0,1.43,0,1.43,8.57,0,2.86,1.43,1.43,1.43,4.29,1.43,0,1.43,0,1.43,0,1.43,0,0,5.71,0,0,4.29,1.43,0,0,1.43,0,4.29,0,4.29,0,2.86,1.43,0,0,1.43,0,1.43,0,1.43,0,0,0,74.29,1.43,0,0,0,1.43,0,1.43,0,0,0,70
"32","@eileeniorio “...former National Coordinator, HPV Vaccine Studies, Denmark”? Are they no longer seeing patients with potential #hpv #vaccine adverse events?","Negative",22,79.25,50,11,1,11,45.45,50,18.18,4.55,4.55,0,0,0,0,4.55,0,0,4.55,4.55,0,0,4.55,9.09,13.64,9.09,0,0,0,4.55,0,4.55,0,0,0,4.55,0,0,0,0,4.55,0,0,0,4.55,0,0,4.55,4.55,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,4.55,4.55,4.55,13.64,0,9.09,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,45.45,13.64,9.09,0,0,9.09,0,0,0,0,0,13.64
"33","@eileeniorio And @ least 1 for #bronchospasm following #hpv #vaccine, iirc. And what’s all this got to do w/Cochrane?","Negative",19,63.17,50,1,25.77,9.5,26.32,63.16,36.84,10.53,0,0,0,0,0,0,10.53,0,10.53,5.26,0,10.53,0,15.79,5.26,5.26,5.26,5.26,10.53,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,5.26,5.26,0,5.26,5.26,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,42.11,5.26,5.26,0,0,5.26,0,0,0,0,0,26.32
"34","@eileeniorio Wait, wasn’t he also involved in the #EMA #hpv #vaccine review of potential adverse events?","Negative",17,92.84,88.03,1,1,17,29.41,58.82,29.41,5.88,5.88,0,0,0,5.88,0,0,5.88,11.76,0,5.88,5.88,0,5.88,0,0,0,0,0,5.88,0,5.88,0,0,0,11.76,0,0,0,5.88,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,5.88,5.88,11.76,0,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,35.29,0,5.88,0,0,5.88,0,0,0,0,0,23.53
