Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"Peak season for #flu season is usually around January and February. Everyone who is eligible should promptly get their flu #vaccine when they are called for immunisation, so they are protected in time: https://t.co/G5Em5h170Y #HelpUsHelpYou https://t.co/tUZn4P6jbx",44,25.90,91.35,31.94,25.77,22.00,27.27,70.45,40.91,11.36,6.82,0.00,0.00,0.00,0.00,6.82,4.55,0.00,9.09,11.36,9.09,6.82,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,6.82,0.00,6.82,0.00,0.00,4.55,0.00,0.00,0.00,2.27,2.27,2.27,11.36,0.00,20.45,0.00,4.55,15.91,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,6.82,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91
"WEDNESDAY WELLNESS MINUTE : The Polio - like Virus 😷 
Stand tuned at 5:30pm to hear Dr. Schilling's input on rise of this virus. 
Live streamed on both Facebook: https://t.co/WObNPaZCa9  and Youtube: https://t.co/QKzOj3MJ2R 
#Polio #Virus #Vaccine #Health #PolioVirus https://t.co/cWuVHJvRkg",49,98.51,65.86,13.15,64.46,24.50,22.45,44.90,18.37,2.04,0.00,0.00,0.00,0.00,0.00,0.00,2.04,2.04,12.24,0.00,0.00,2.04,0.00,4.08,0.00,2.04,0.00,2.04,2.04,2.04,2.04,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,2.04,0.00,6.12,0.00,6.12,0.00,0.00,2.04,2.04,0.00,0.00,0.00,0.00,0.00,4.08,0.00,14.29,2.04,10.20,4.08,0.00,4.08,0.00,0.00,0.00,0.00,6.12,0.00,6.12,0.00,0.00,0.00,44.90,10.20,0.00,8.16,0.00,0.00,0.00,2.04,0.00,2.04,0.00,22.45
"Researchers @InovioPharma &amp; @TheWistar making progress w/ alt defense against #Ebola. Synthetic DNA #vaccine provided 100% protection against lethal Ebola challenge; shown safe for vulnerable populations, w/ protective response for &gt;1yr after last dose. 

https://t.co/luRUIc9FBy https://t.co/V3vIpmuALu",45,98.75,32.84,2.21,25.77,15.00,40.00,51.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.22,4.44,2.22,0.00,2.22,0.00,8.89,4.44,4.44,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,15.56,0.00,4.44,2.22,0.00,8.89,2.22,0.00,0.00,4.44,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,2.22,8.89,0.00,8.89,0.00,0.00,0.00,42.22,8.89,2.22,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,24.44
"Researchers @InovioPharma &amp; @TheWistar making progress w/ alt defense against #Ebola. Synthetic DNA #vaccine provided 100% protection against lethal Ebola challenge; shown safe for vulnerable populations, w/ protective response for &gt;1yr after last dose. 

https://t.co/luRUIc9FBy https://t.co/V3vIpmuALu",45,98.75,32.84,2.21,25.77,15.00,40.00,51.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.22,4.44,2.22,0.00,2.22,0.00,8.89,4.44,4.44,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,15.56,0.00,4.44,2.22,0.00,8.89,2.22,0.00,0.00,4.44,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,2.22,8.89,0.00,8.89,0.00,0.00,0.00,42.22,8.89,2.22,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,24.44
"Positive results from the latest clinical trial (HVTN 114) of our preventive #HIV #Vaccine were presented today at the @HIVR4Px conference in Madrid.  Thank you HVTN @HelpEndHIV for conducting the trial and @NIAIDNews for sponsorship!
https://t.co/xorhWvOPIT https://t.co/1Ny2t2wugY",47,98.63,80.25,1.90,93.02,15.67,27.66,51.06,27.66,4.26,4.26,0.00,2.13,2.13,0.00,0.00,0.00,6.38,12.77,2.13,0.00,2.13,0.00,4.26,4.26,2.13,0.00,2.13,0.00,4.26,4.26,0.00,0.00,0.00,0.00,4.26,0.00,0.00,0.00,0.00,4.26,0.00,2.13,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00,4.26,0.00,4.26,2.13,0.00,6.38,2.13,0.00,0.00,2.13,2.13,2.13,4.26,0.00,8.51,0.00,4.26,4.26,2.13,0.00,0.00,0.00,0.00,0.00,4.26,0.00,4.26,0.00,0.00,0.00,31.91,6.38,0.00,0.00,0.00,0.00,2.13,0.00,0.00,0.00,4.26,19.15
"A super busy peer vaccination clinic in Roscommon University Hospital #RUH. Get a #Vaccine give a #Vaccine, for every one #fluvaccine we will donate 10 polio vaccines to Unicef’s end #Polio campaign. #yourbestshot #flufighters https://t.co/HxCR6V5UXD",39,98.53,77.92,1.40,73.64,13.00,33.33,53.85,20.51,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,7.69,7.69,2.56,0.00,0.00,0.00,10.26,5.13,0.00,0.00,5.13,2.56,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,12.82,5.13,2.56,2.56,2.56,0.00,0.00,7.69,2.56,7.69,0.00,2.56,5.13,5.13,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,35.90,7.69,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,23.08
"#Arizona kills #vaccine education program to placate #idiots https://t.co/0a5pqrEKKZ",14,97.54,23.75,1.00,1.00,14.00,42.86,42.86,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,7.14,14.29,7.14,7.14,0.00,0.00,0.00,42.86,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71
"Researchers @InovioPharma &amp; @TheWistar making progress w/ alt defense against #Ebola. Synthetic DNA #vaccine provided 100% protection against lethal Ebola challenge; shown safe for vulnerable populations, w/ protective response for &gt;1yr after last dose. 

https://t.co/luRUIc9FBy https://t.co/V3vIpmuALu",45,98.75,32.84,2.21,25.77,15.00,40.00,51.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.22,4.44,2.22,0.00,2.22,0.00,8.89,4.44,4.44,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,15.56,0.00,4.44,2.22,0.00,8.89,2.22,0.00,0.00,4.44,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,2.22,8.89,0.00,8.89,0.00,0.00,0.00,42.22,8.89,2.22,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,24.44
"@Plasticdoe @LiteWorkR @DiegoPrickle @_CWN @Boxmenot @gypsyof7 @HelloGeorgeN @ThisMomHCN @cantab_biker @Vbalance03 @erikwilson1975 @thereal_truther @GeoffSchuler @margie_moo @Just4TheCause @kidoctr @FreeBeeCee @AngryAmygdala @RBuzzy1111 @BrookeP2705 @doritmi @EmmaGPaley @lawnatural @jarue369 @BillyMontana81 @RyanMarino @MamaBear11011 @Momogarden81 @what_if_007 @janem1276 @ChrisJohnsonMD @MrFlu2 @chrisvcsefalvay @JakeLCrosby @JOEWV @jkellyca @_marymason @SentinelM @TinFoilAwards @ailsa_graham @KarmicTimes @RustyPee4 @science_guy5 @itsmepanda1 @PharmaNemesis @Organic_Mumzy @steffieschiltz @eTweeetz It's frankly insane to continue to defend dangerous #vaccines that injure &amp; kill millions. Example: #LearnTheRisk about #HVP #Gardasil #vaccine &gt; MT @JDR1103 Oct 22 - Japan Leading the World in Exposing #Fraud with Gardasil HPV  Vaccine Injuries and Deaths https://t.co/gAjJ51aHHx",100,91.81,54.00,1.00,4.95,50.00,58.00,30.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,5.00,1.00,1.00,2.00,0.00,2.00,2.00,0.00,1.00,3.00,0.00,4.00,1.00,3.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,1.00,4.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,5.00,1.00,1.00,2.00,0.00,2.00,0.00,2.00,0.00,4.00,1.00,2.00,1.00,3.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,76.00,2.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,69.00
"@Plasticdoe @LiteWorkR @DiegoPrickle @_CWN @Boxmenot @gypsyof7 @HelloGeorgeN @ThisMomHCN @cantab_biker @Vbalance03 @erikwilson1975 @thereal_truther @GeoffSchuler @margie_moo @Just4TheCause @kidoctr @FreeBeeCee @AngryAmygdala @RBuzzy1111 @BrookeP2705 @doritmi @EmmaGPaley @lawnatural @jarue369 @BillyMontana81 @RyanMarino @MamaBear11011 @Momogarden81 @what_if_007 @janem1276 @ChrisJohnsonMD @MrFlu2 @chrisvcsefalvay @JakeLCrosby @JOEWV @jkellyca @_marymason @SentinelM @TinFoilAwards @ailsa_graham @KarmicTimes @RustyPee4 @science_guy5 @itsmepanda1 @PharmaNemesis @Organic_Mumzy @steffieschiltz @eTweeetz Kind? Is this kind or is it pathologically evil? &gt; RT @unhealthytruth Oct 20 #Vaccines Profiteer Dr Pr-#Offit &amp; Zdogg laugh at dad whose child died hours after #vaccine he invented https://t.co/P9OXBzZ6dZ Yep. Evil. #BigPharma #LearnTheRisk #rememberzara #vaccinesdangers are real",101,81.55,68.97,1.00,79.81,20.20,52.48,32.67,11.88,4.95,0.99,0.00,0.00,0.00,0.99,0.00,3.96,0.00,1.98,2.97,0.00,1.98,0.00,3.96,2.97,0.99,1.98,1.98,0.00,6.93,4.95,1.98,0.00,0.00,0.00,6.93,0.99,0.99,0.00,2.97,2.97,0.00,0.00,0.99,1.98,0.99,1.98,0.99,0.00,0.99,0.00,1.98,0.00,1.98,0.00,0.00,4.95,0.99,0.00,2.97,0.99,0.00,0.99,2.97,0.00,2.97,0.00,0.99,1.98,2.97,0.99,0.00,0.99,0.00,0.99,2.97,0.00,2.97,1.98,0.00,0.00,77.23,2.97,0.00,0.00,1.98,1.98,0.00,0.99,0.00,0.00,0.00,69.31
"Researchers @InovioPharma &amp; @TheWistar making progress w/ alt defense against #Ebola. Synthetic DNA #vaccine provided 100% protection against lethal Ebola challenge; shown safe for vulnerable populations, w/ protective response for &gt;1yr after last dose. 

https://t.co/luRUIc9FBy https://t.co/V3vIpmuALu",45,98.75,32.84,2.21,25.77,15.00,40.00,51.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.22,4.44,2.22,0.00,2.22,0.00,8.89,4.44,4.44,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,15.56,0.00,4.44,2.22,0.00,8.89,2.22,0.00,0.00,4.44,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,2.22,8.89,0.00,8.89,0.00,0.00,0.00,42.22,8.89,2.22,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,24.44
"Have you ever had any side effects from a flu vaccine? If yes, can you explain? #Health #Flu #Vaccine",19,33.88,98.19,50.35,25.77,6.33,21.05,89.47,47.37,10.53,10.53,0.00,0.00,10.53,0.00,0.00,0.00,5.26,5.26,15.79,5.26,5.26,0.00,15.79,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,26.32,10.53,5.26,5.26,10.53,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,15.79,0.00,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,31.58,0.00,5.26,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,15.79
"Vaccination is the most effective form of #influenza prevention. @ECDC_EU continues to emphasise that all Europeans who are recommended to have the influenza #vaccine should get vaccinated. 

#FightFlu #VaccinesWork
https://t.co/ZvpCw6Bg24",35,89.60,80.42,1.00,1.91,11.67,40.00,57.14,31.43,5.71,0.00,0.00,0.00,0.00,0.00,0.00,5.71,5.71,8.57,11.43,0.00,0.00,0.00,14.29,2.86,2.86,2.86,0.00,5.71,2.86,0.00,2.86,0.00,2.86,0.00,8.57,0.00,0.00,0.00,0.00,11.43,2.86,2.86,2.86,2.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,2.86,2.86,0.00,14.29,0.00,2.86,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,31.43,8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.86
"And so it begins! Thanks to all staff for doing the right thing and taking the #flu #vaccine We’re protecting ourselves, our patients and our families #YourBestShot @HOS_HandWB_CK @Ajotalk @jimdalytd @HSEImm @HSE_HR @emerctobin @oosocool https://t.co/25WSkMSNK0",43,55.38,98.14,1.00,69.60,21.50,25.58,60.47,34.88,13.95,9.30,0.00,9.30,0.00,0.00,0.00,4.65,4.65,4.65,2.33,2.33,9.30,0.00,11.63,0.00,0.00,0.00,2.33,2.33,2.33,2.33,0.00,0.00,0.00,0.00,11.63,2.33,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,2.33,0.00,2.33,0.00,0.00,18.60,11.63,0.00,2.33,2.33,2.33,0.00,6.98,0.00,4.65,0.00,2.33,2.33,4.65,2.33,2.33,0.00,0.00,0.00,2.33,0.00,2.33,0.00,0.00,0.00,44.19,2.33,2.33,0.00,0.00,0.00,2.33,0.00,0.00,2.33,0.00,34.88
"A super busy peer vaccination clinic in Roscommon University Hospital #RUH. Get a #Vaccine give a #Vaccine, for every one #fluvaccine we will donate 10 polio vaccines to Unicef’s end #Polio campaign. #yourbestshot #flufighters https://t.co/HxCR6V5UXD",39,98.53,77.92,1.40,73.64,13.00,33.33,53.85,20.51,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,7.69,7.69,2.56,0.00,0.00,0.00,10.26,5.13,0.00,0.00,5.13,2.56,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,12.82,5.13,2.56,2.56,2.56,0.00,0.00,7.69,2.56,7.69,0.00,2.56,5.13,5.13,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,35.90,7.69,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,23.08
